Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-08-02 20:30,-0.078,0.028,1,0,0,0,p
2018-08-02 20:36,-0.059,0.025,0,0,0,0,p
2018-08-02 20:42,-0.041,0.025,0,0,0,0,p
2018-08-02 20:48,-0.024,0.025,0,0,0,0,p
2018-08-02 20:54,0.003,0.024,0,0,0,0,p
2018-08-02 21:00,0.025,0.020,1,0,0,0,p
2018-08-02 21:06,0.045,0.025,1,0,0,0,p
2018-08-02 21:12,0.069,0.024,1,0,0,0,p
2018-08-02 21:18,0.093,0.024,0,0,0,0,p
2018-08-02 21:24,0.103,0.020,0,0,0,0,p
2018-08-02 21:30,0.122,0.020,1,0,0,0,p
2018-08-02 21:36,0.139,0.023,1,0,0,0,p
2018-08-02 21:42,0.157,0.025,0,0,0,0,p
2018-08-02 21:48,0.167,0.026,0,0,0,0,p
2018-08-02 21:54,0.183,0.034,0,0,0,0,p
2018-08-02 22:00,0.208,0.021,1,0,0,0,p
2018-08-02 22:06,0.212,0.027,0,0,0,0,p
2018-08-02 22:12,0.231,0.027,1,0,0,0,p
2018-08-02 22:18,0.249,0.032,0,0,0,0,p
2018-08-02 22:24,0.273,0.026,1,0,0,0,p
2018-08-02 22:30,0.288,0.022,1,0,0,0,p
2018-08-02 22:36,0.304,0.033,0,0,0,0,p
2018-08-02 22:42,0.314,0.031,0,0,0,0,p
2018-08-02 22:48,0.328,0.027,1,0,0,0,p
2018-08-02 22:54,0.332,0.029,1,0,0,0,p
